date,CABO DELGADO,GAZA,INHAMBANE,MANICA,MAPUTO CIDADE,MAPUTO PROVINCIA,NAMPULA,NIASSA,SOFALA,TETE,ZAMBEZIA
1/4/2016,2250000,1412000,1471740,1887800,1116600,1883279,5611950,1747000,2190439,2563050,5023500
1/11/2016,2251285,1412155,1472020,1888857,1116634,1884846,5614611,1748173,2191689,2564619,5026059
1/18/2016,2252570,1412311,1472301,1889914,1116668,1886413,5617273,1749346,2192939,2566188,5028618
1/25/2016,2253856,1412467,1472582,1890971,1116702,1887980,5619934,1750519,2194189,2567757,5031178
2/1/2016,2255141,1412623,1472863,1892029,1116736,1889548,5622596,1751693,2195439,2569326,5033737
2/8/2016,2256427,1412779,1473143,1893086,1116770,1891115,5625257,1752866,2196689,2570896,5036296
2/15/2016,2257712,1412935,1473424,1894143,1116805,1892682,5627919,1754039,2197939,2572465,5038856
2/22/2016,2258997,1413091,1473705,1895201,1116839,1894250,5630580,1755212,2199189,2574034,5041415
2/29/2016,2260283,1413247,1473986,1896258,1116873,1895817,5633242,1756386,2200439,2575603,5043974
3/7/2016,2261568,1413403,1474266,1897315,1116907,1897384,5635903,1757559,2201689,2577173,5046534
3/14/2016,2262854,1413559,1474547,1898373,1116941,1898952,5638565,1758732,2202939,2578742,5049093
3/21/2016,2264139,1413715,1474828,1899430,1116976,1900519,5641226,1759905,2204189,2580311,5051653
3/28/2016,2265425,1413871,1475109,1900487,1117010,1902086,5643888,1761079,2205439,2581880,5054212
4/4/2016,2266710,1414027,1475390,1901545,1117044,1903654,5646550,1762252,2206689,2583450,5056771
4/11/2016,2267995,1414183,1475670,1902602,1117078,1905221,5649211,1763425,2207939,2585019,5059331
4/18/2016,2269281,1414339,1475951,1903659,1117112,1906788,5651873,1764599,2209189,2586588,5061890
4/25/2016,2270566,1414495,1476232,1904717,1117147,1908355,5654534,1765772,2210439,2588157,5064449
5/2/2016,2271852,1414651,1476513,1905774,1117181,1909923,5657196,1766945,2211689,2589726,5067009
5/9/2016,2273137,1414806,1476793,1906831,1117215,1911490,5659857,1768118,2212939,2591296,5069568
5/16/2016,2274423,1414962,1477074,1907889,1117249,1913057,5662519,1769292,2214189,2592865,5072127
5/23/2016,2275708,1415118,1477355,1908946,1117283,1914625,5665180,1770465,2215439,2594434,5074687
5/30/2016,2276993,1415274,1477636,1910003,1117318,1916192,5667842,1771638,2216689,2596003,5077246
6/6/2016,2278279,1415430,1477916,1911061,1117352,1917759,5670503,1772811,2217939,2597573,5079806
6/13/2016,2279564,1415586,1478197,1912118,1117386,1919327,5673165,1773985,2219189,2599142,5082365
6/20/2016,2280850,1415742,1478478,1913175,1117420,1920894,5675826,1775158,2220439,2600711,5084924
6/27/2016,2282135,1415898,1478759,1914233,1117454,1922461,5678488,1776331,2221689,2602280,5087484
7/4/2016,2283421,1416054,1479040,1915290,1117489,1924029,5681150,1777505,2222939,2603850,5090043
7/11/2016,2284706,1416210,1479320,1916347,1117523,1925596,5683811,1778678,2224189,2605419,5092602
7/18/2016,2285991,1416366,1479601,1917405,1117557,1927163,5686473,1779851,2225439,2606988,5095162
7/25/2016,2287277,1416522,1479882,1918462,1117591,1928730,5689134,1781024,2226689,2608557,5097721
8/1/2016,2288562,1416678,1480163,1919519,1117625,1930298,5691796,1782198,2227939,2610126,5100280
8/8/2016,2289848,1416834,1480443,1920577,1117659,1931865,5694457,1783371,2229189,2611696,5102840
8/15/2016,2291133,1416990,1480724,1921634,1117694,1933432,5697119,1784544,2230439,2613265,5105399
8/22/2016,2292418,1417146,1481005,1922691,1117728,1935000,5699780,1785717,2231689,2614834,5107959
8/29/2016,2293704,1417302,1481286,1923749,1117762,1936567,5702442,1786891,2232939,2616403,5110518
9/5/2016,2294989,1417457,1481566,1924806,1117796,1938134,5705103,1788064,2234189,2617973,5113077
9/12/2016,2296275,1417613,1481847,1925863,1117830,1939702,5707765,1789237,2235439,2619542,5115637
9/19/2016,2297560,1417769,1482128,1926921,1117865,1941269,5710426,1790410,2236689,2621111,5118196
9/26/2016,2298846,1417925,1482409,1927978,1117899,1942836,5713088,1791584,2237939,2622680,5120755
10/3/2016,2300131,1418081,1482690,1929035,1117933,1944404,5715750,1792757,2239189,2624250,5123315
10/10/2016,2301416,1418237,1482970,1930093,1117967,1945971,5718411,1793930,2240439,2625819,5125874
10/17/2016,2302702,1418393,1483251,1931150,1118001,1947538,5721073,1795104,2241689,2627388,5128433
10/24/2016,2303987,1418549,1483532,1932207,1118036,1949105,5723734,1796277,2242939,2628957,5130993
10/31/2016,2305273,1418705,1483813,1933265,1118070,1950673,5726396,1797450,2244189,2630526,5133552
11/7/2016,2306558,1418861,1484093,1934322,1118104,1952240,5729057,1798623,2245439,2632096,5136112
11/14/2016,2307844,1419017,1484374,1935379,1118138,1953807,5731719,1799797,2246689,2633665,5138671
11/21/2016,2309129,1419173,1484655,1936437,1118172,1955375,5734380,1800970,2247939,2635234,5141230
11/28/2016,2310414,1419329,1484936,1937494,1118207,1956942,5737042,1802143,2249189,2636803,5143790
12/5/2016,2311700,1419485,1485216,1938551,1118241,1958509,5739703,1803316,2250439,2638373,5146349
12/12/2016,2312985,1419641,1485497,1939609,1118275,1960077,5742365,1804490,2251689,2639942,5148908
12/19/2016,2314271,1419797,1485778,1940666,1118309,1961644,5745026,1805663,2252939,2641511,5151468
12/26/2016,2315556,1419953,1486059,1941723,1118343,1963211,5747688,1806836,2254189,2643080,5154027
1/2/2017,2316842,1420109,1486340,1942781,1118378,1964779,5750350,1808010,2255439,2644650,5156587
1/9/2017,2318166,1420267,1486627,1943860,1118417,1966371,5753070,1809206,2256710,2646256,5159183
1/16/2017,2319491,1420425,1486915,1944940,1118457,1967964,5755790,1810402,2257982,2647862,5161780
1/23/2017,2320816,1420583,1487203,1946020,1118496,1969557,5758510,1811598,2259254,2649469,5164376
1/30/2017,2322141,1420741,1487491,1947099,1118536,1971150,5761230,1812795,2260526,2651075,5166973
2/6/2017,2323465,1420899,1487778,1948179,1118575,1972743,5763950,1813991,2261798,2652682,5169570
2/13/2017,2324790,1421057,1488066,1949259,1118615,1974336,5766670,1815187,2263070,2654288,5172166
2/20/2017,2326115,1421215,1488354,1950338,1118654,1975929,5769390,1816383,2264342,2655895,5174763
2/27/2017,2327440,1421373,1488642,1951418,1118694,1977522,5772110,1817580,2265614,2657501,5177360
3/6/2017,2328764,1421531,1488930,1952498,1118733,1979114,5774830,1818776,2266886,2659108,5179956
3/13/2017,2330089,1421689,1489217,1953578,1118773,1980707,5777550,1819972,2268158,2660714,5182553
3/20/2017,2331414,1421848,1489505,1954657,1118812,1982300,5780270,1821168,2269430,2662321,5185150
3/27/2017,2332739,1422006,1489793,1955737,1118852,1983893,5782990,1822365,2270702,2663927,5187746
4/3/2017,2334063,1422164,1490081,1956817,1118891,1985486,5785711,1823561,2271974,2665534,5190343
4/10/2017,2335388,1422322,1490369,1957896,1118931,1987079,5788431,1824757,2273246,2667140,5192940
4/17/2017,2336713,1422480,1490656,1958976,1118970,1988672,5791151,1825953,2274518,2668746,5195536
4/24/2017,2338038,1422638,1490944,1960056,1119010,1990265,5793871,1827150,2275790,2670353,5198133
5/1/2017,2339362,1422796,1491232,1961136,1119049,1991858,5796591,1828346,2277062,2671959,5200730
5/8/2017,2340687,1422954,1491520,1962215,1119089,1993450,5799311,1829542,2278333,2673566,5203326
5/15/2017,2342012,1423112,1491807,1963295,1119128,1995043,5802031,1830738,2279605,2675172,5205923
5/22/2017,2343337,1423270,1492095,1964375,1119168,1996636,5804751,1831935,2280877,2676779,5208520
5/29/2017,2344661,1423429,1492383,1965454,1119207,1998229,5807471,1833131,2282149,2678385,5211116
6/5/2017,2345986,1423587,1492671,1966534,1119247,1999822,5810191,1834327,2283421,2679992,5213713
6/12/2017,2347311,1423745,1492959,1967614,1119286,2001415,5812911,1835523,2284693,2681598,5216310
6/19/2017,2348636,1423903,1493246,1968694,1119326,2003008,5815631,1836720,2285965,2683205,5218906
6/26/2017,2349960,1424061,1493534,1969773,1119365,2004601,5818351,1837916,2287237,2684811,5221503
7/3/2017,2351285,1424219,1493822,1970853,1119405,2006194,5821072,1839112,2288509,2686418,5224100
7/10/2017,2352610,1424377,1494110,1971933,1119445,2007786,5823792,1840308,2289781,2688024,5226696
7/17/2017,2353935,1424535,1494398,1973012,1119484,2009379,5826512,1841505,2291053,2689630,5229293
7/24/2017,2355259,1424693,1494685,1974092,1119524,2010972,5829232,1842701,2292325,2691237,5231889
7/31/2017,2356584,1424851,1494973,1975172,1119563,2012565,5831952,1843897,2293597,2692843,5234486
8/7/2017,2357909,1425009,1495261,1976252,1119603,2014158,5834672,1845093,2294869,2694450,5237083
8/14/2017,2359234,1425168,1495549,1977331,1119642,2015751,5837392,1846290,2296141,2696056,5239679
8/21/2017,2360558,1425326,1495837,1978411,1119682,2017344,5840112,1847486,2297413,2697663,5242276
