date,CABO DELGADO,GAZA,INHAMBANE,MANICA,MAPUTO CIDADE,MAPUTO PROVINCIA,NAMPULA,NIASSA,SOFALA,TETE,ZAMBEZIA
1/4/2016,0.692,0.882,0.457,1,0.677,0.861,0.8,0.488,0.832,1,1
1/11/2016,0.692,0.984,0.353,1,0.677,0.861,0.67,0.488,0.832,1,0.979
1/18/2016,0.692,0.984,0.264,1,0.677,0.861,0.646,0.488,0.832,1,0.979
1/25/2016,0.692,0.984,0.353,0.938,0.677,0.861,0.658,0.631,0.832,1,0.979
2/1/2016,0.692,0.984,0.457,0.938,0.677,0.828,0.658,0.488,0.832,1,1
2/8/2016,0.692,0.984,0.353,0.837,0.677,0.861,0.658,0.488,0.832,1,1
2/15/2016,0.692,0.984,0.457,0.837,0.677,0.861,0.658,0.488,0.832,1,1
2/22/2016,0.692,0.984,0.353,0.837,0.677,0.861,0.658,0.488,0.76,1,1
2/29/2016,0.692,0.984,0.353,0.837,0.677,0.861,0.658,0.488,0.832,1,0.979
3/7/2016,0.692,0.984,0.353,0.9,0.677,0.861,0.658,0.551,0.76,1,1
3/14/2016,0.812,0.984,0.457,0.9,0.677,0.975,0.729,0.488,0.832,1,0.979
3/21/2016,0.692,1,0.383,0.9,1,0.975,0.747,0.488,0.832,1,0.979
3/28/2016,0.692,1,0.383,0.9,1,0.975,0.747,0.488,0.832,1,1
4/4/2016,0.692,1,1,0.9,1,1,0.841,0.488,0.832,1,0.931
4/11/2016,0.719,1,1,0.9,1,1,0.821,0.488,0.832,1,1
4/18/2016,0.803,1,1,0.9,1,1,0.821,0.488,0.832,1,1
4/25/2016,0.77,1,1,0.796,1,1,0.899,0.488,0.832,1,1
5/2/2016,1,1,1,0.837,1,1,1,0.488,0.832,1,1
5/9/2016,1,1,1,0.9,1,1,0.974,0.488,0.832,1,1
5/16/2016,0.956,1,1,0.837,1,1,1,0.577,0.832,1,1
5/23/2016,0.956,1,1,0.837,1,1,1,0.74,0.912,1,1
5/30/2016,0.866,0.984,1,0.837,1,1,1,0.883,0.887,1,1
6/6/2016,0.91,1,1,0.837,1,1,0.984,0.883,0.887,1,1
6/13/2016,0.91,1,1,0.837,1,1,1,0.883,0.887,1,1
6/20/2016,0.905,1,1,0.837,1,1,0.984,0.946,0.806,1,1
6/27/2016,1,1,1,0.837,1,1,1,0.958,0.734,1,1
7/4/2016,0.96,1,1,0.837,1,1,0.984,0.958,0.815,1,1
7/11/2016,0.96,1,1,0.837,1,1,0.984,0.958,0.815,1,1
7/18/2016,0.96,1,1,0.837,1,1,1,0.958,0.815,1,1
7/25/2016,1,1,1,0.837,1,1,1,0.958,0.815,1,1
8/1/2016,1,1,1,0.837,1,1,1,0.958,0.912,1,1
8/8/2016,1,1,1,0.837,1,1,0.984,0.958,0.93,1,1
8/15/2016,1,1,1,0.837,1,1,0.97,0.958,0.93,1,1
8/22/2016,1,1,1,0.837,1,1,1,0.958,0.93,1,1
8/29/2016,1,1,1,0.837,1,1,1,0.958,0.858,1,1
9/5/2016,1,1,1,0.812,1,1,1,0.958,0.93,1,1
9/12/2016,1,1,1,0.812,1,1,1,0.958,0.93,1,1
9/19/2016,0.912,1,1,0.837,0.994,1,1,0.958,0.904,1,1
9/26/2016,1,1,1,0.837,1,1,1,0.958,0.904,1,1
10/3/2016,1,1,1,0.9,1,1,1,0.958,1,1,1
10/10/2016,1,1,1,0.9,1,1,0.97,0.935,0.831,1,1
10/17/2016,1,1,1,0.871,1,1,1,0.958,0.919,1,1
10/24/2016,1,1,1,0.9,1,1,1,0.958,0.919,1,1
10/31/2016,1,1,1,1,1,1,1,0.932,0.919,1,1
11/7/2016,0.984,1,1,1,1,1,1,0.958,1,1,1
11/14/2016,0.93,1,1,1,1,1,0.984,0.958,0.919,1,0.976
11/21/2016,0.995,0.984,1,1,1,1,1,1,0.919,1,1
11/28/2016,0.995,0.984,1,0.871,1,0.975,0.93,1,0.902,1,1
12/5/2016,0.924,1,1,0.871,1,0.975,1,1,0.632,0.926,1
12/12/2016,0.978,1,1,0.971,1,0.975,1,0.938,0.632,1,0.976
12/19/2016,0.908,1,1,0.971,1,0.975,1,1,0.607,1,1
12/26/2016,0.895,1,1,0.894,0.93,0.929,0.795,0.817,0.804,1,1
1/2/2017,1,1,1,1,1,1,1,1,1,1,1
1/9/2017,1,1,1,1,1,1,1,1,1,1,1
1/16/2017,1,1,1,1,1,1,1,1,1,1,1
1/23/2017,1,1,1,1,1,1,1,1,1,1,1
1/30/2017,1,1,1,1,1,1,1,1,1,1,1
2/6/2017,1,1,1,1,1,1,1,1,1,1,1
2/13/2017,1,1,1,1,1,1,1,0.96,1,1,1
2/20/2017,1,1,1,1,1,1,1,0.96,0.93,1,1
2/27/2017,0.923,1,1,1,1,1,1,0.955,0.93,1,1
3/6/2017,1,1,1,1,1,1,1,1,1,1,1
3/13/2017,1,1,1,1,1,1,1,0.955,1,1,1
3/20/2017,1,1,1,1,1,1,1,1,1,1,1
3/27/2017,1,1,1,1,1,1,1,1,1,1,1
